URL,Title,Selection,Folder
"http://www.spiegel.de/international/germany/0,1518,719619,00.html","WikiLeaks Spokesman Quits: 'The Only Option Left for Me Is an Orderly Departure' - SPIEGEL ONLINE - News - International",,"Wikileaks reading list"
http://blog.assetmap.com/2010/11/social-web/why-the-interest-graph-will-reshape-social-networks-and-the-next-generation-of-internet-business/,"Why the Interest Graph Will Reshape Social Networks (and the Next Generation of Internet Business) | Assetmap",,Personal
http://www.guardian.co.uk/media/2010/dec/17/julian-assange-sweden,"10 days in Sweden: the full allegations against Julian Assange | Media | The Guardian",,"Wikileaks reading list"
http://www.webstock.org.nz/blog/2010/the-blast-shack/,"The Blast Shack",,"Wikileaks reading list"
http://www.guardian.co.uk/media/2010/dec/18/julian-assange-allegations-wikileaks-cables,"Julian Assange furore deepens as new details emerge of sex crime allegations | Media | guardian.co.uk",,Archive
http://www.theaustralian.com.au/news/world/lawyers-cry-foul-over-leak-of-julian-assange-sex-case-papers/story-e6frg6so-1225973548657,"Lawyers cry foul over leak of Julian Assange sex-case papers | The Australian",,Archive
http://techcrunch.com/2010/12/05/social-networking-future/,"Social Networking: The Future",,Personal
http://nymag.com/news/articles/reasonstoloveny/2010/70077/,"Because We Still Find Ways to Feel Like a Small Town - Reasons to Love New York 2010 -- New York Magazine",,Personal
http://seedmagazine.com/content/print/the_improvisational_brain/,"The Improvisational Brain § SEEDMAGAZINE.COM",,Personal
http://www.economist.com/node/17722932?story_id=17722932&CFID=156902477&CFTOKEN=11930683,"Migrant farm workers: Fields of tears | The Economist",,Personal
http://www.economist.com/node/17723223?story_id=17723223,"Doctoral degrees: The disposable academic | The Economist",,Personal
http://www.nytimes.com/2010/12/19/magazine/19FOB-Medium-t.html?_r=2,"Granting Anonymity - NYTimes.com","oups use Tor, as do journalists, private citizens and the military, and the heterogeneity and farflungness of its users — together with its elegant source code — keep it unbreachable. When a communication arrives from Tor, you can never know where or whom it’s from. Tor is by design not a media project or a human rights one or (anymore) a military one.

Jacob Appelbaum, a developer for Tor who travels the world explaining Tor to human rights and social-justice activists, tells me that users periodically complain about the politics and motivations of other (self-identified) users. What they don’t grasp is that if Tor were cohesive — physically or ideologically — its members could be identified. As Appelbaum explained, “If it’s only the military using the Tor network” — say — “it’s not anonymous.”

A Tor transmission these days might start in Addis Ababa, hop to Dallas, then to Stockholm and finally Johannesburg. (There are some 2,000 Tor relay nodes at any one time across the globe.) The only thing the Johannesburg recipient can discover is that the data came from Tor, and Tor has successfully identified itself with no person or group, only with ideological incoherence. For the person trying to get a message out through Tor,",Personal
http://www.theoriginalsoundtrack.com/2010/12/politics-part-1/,"Politics, Part 1.",,Archive
http://www.zdnet.com/blog/perlow/the-global-cyber-war-hacks-and-attacks-scorecard/15192,"The Global Cyber War Hacks and Attacks Scorecard | ZDNet",primary,Archive
http://news.cnet.com/8301-13578_3-9886855-38.html,"Swiss bank in Wikileaks case abruptly abandons lawsuit | Politics and Law - CNET News",,Archive
http://www.nytimes.com/2008/02/04/washington/04rules.html?_r=2,"Cross-Border Chases From Iraq O.K., Document Says - New York Times",,Archive
http://www.firstamendmentcenter.org/analysis.aspx?id=17318,"firstamendmentcenter.org: analysis",,Archive
http://www.commentarymagazine.com/viewarticle.cfm/has-the--new-york-times--violated-the-espionage-act--10036,"Has the “New York Times” Violated the Espionage Act?","actually thinks above is true. worth a read for link to original cases","Wikileaks reading list"
http://www.law.cornell.edu/uscode/html/uscode18/usc_sec_18_00000794----000-.html,"United States Code: Title 18,794. Gathering or delivering defense information to aid foreign government | LII / Legal Information Institute","original code which WL or BM may be in violation of","Wikileaks reading list"
http://www.law.cornell.edu/uscode/html/uscode18/usc_sec_18_00000793----000-.html,"United States Code: Title 18,793. Gathering, transmitting or losing defense information | LII / Legal Information Institute","original code which WL or BM may be in violation of","Wikileaks reading list"
http://crooksandliars.com/ian-welsh/why-assange-and-wikileaks-have-won-round,"Why Assange and WikiLeaks have won this round | Crooks and Liars",,Archive
http://www.newyorker.com/reporting/2010/06/07/100607fa_fact_khatchadourian,"WikiLeaks and Julian Paul Assange : The New Yorker","Most comprehensive bio of JA I've seen but does more to reenforce his image as a lone wolf. ","Wikileaks reading list"
http://www.xs4all.nl/~suelette/underground/underground.txt,,,Archive
http://213.251.145.96/cable/1979/08/79TEHRAN8980.html,"Cable Viewer",,Archive
http://www.antipope.org/charlie/blog-static/2010/12/the-nobel-peace-prize-for-2011.html,"Julian Assange, defending our democracies (despite their owners' wishes) - Charlie's Diary",,Archive
http://blogs.theaustralian.news.com.au/mediadiary/index.php/australianmedia/comments/julian1/,"Media Diary Blog | The Australian","interview with JA, recent","Wikileaks reading list"
http://www.wired.com/threatlevel/2010/12/wikileaks-editorial/,"Why WikiLeaks Is Good for America | Threat Level | Wired.com",,Archive
http://en.wikipedia.org/wiki/WikiLeaks,"WikiLeaks - Wikipedia, the free encyclopedia","Wikipedia article, provides a good summary of each of the key events and leaks. Original reading list was extracted from the wikipedia page references (250 items) plus assorted items recommended by friends. What you see here is a filtered version.","Wikileaks reading list"
http://zunguzungu.wordpress.com/2010/11/29/julian-assange-and-the-computer-conspiracy-%E2%80%9Cto-destroy-this-invisible-government%E2%80%9D/,"Julian Assange and the Computer Conspiracy; “To destroy this invisible government” « zunguzungu","Read original essay first, think about it, then read the above post.
http://cryptome.org/0002/ja-conspiracies.pdf

Ja-conspiraces.pdf definitely on the top reading list. ","Wikileaks reading list"
http://www.nytimes.com/2010/11/30/opinion/30brooks.html?_r=3&hp,"The Fragile Community - NYTimes.com",,"Wikileaks reading list"
http://web.archive.org/web/20071020051936/iq.org/,IQ.ORG,"Julian Assange's blog c.a. 2006. Worth a read for background. 74 pages.","Wikileaks reading list"
http://www.shirky.com/weblog/2010/12/wikileaks-and-the-long-haul/,"Wikileaks and the Long Haul « Clay Shirky",,"Wikileaks reading list"
http://www.wlcentral.org/,"WL Central | An unofficial WikiLeaks information resource",,Archive
http://www.r-bloggers.com/animated-heatmap-of-wikileaks-report-intensity-in-afghanistan/,"Animated Heatmap of WikiLeaks Report Intensity in Afghanistan | (R news & tutorials)",,Archive
http://www.colbertnation.com/the-colbert-report-videos/270712/april-12-2010/julian-assange,"Julian Assange - The Colbert Report - 4/12/10 - Video Clip | Comedy Central",,Archive
http://www.onthemedia.org/transcripts/2009/03/13/04/,"On The Media: Transcript of ""Leak Proof"" (March 13, 2009)","Critical interview of Julian Assange, addresses several questions including-leaks leading to loss of life, would Wikileaks leak information about its own sources?","Wikileaks reading list"
http://events.ccc.de/congress/2008/wiki/Conference_Recordings/,"Conference Recordings - 25C3 Public Wiki",,Archive
http://fora.tv/2010/04/18/Logan_Symposium_The_New_Initiatives,"FORA.tv - Logan Symposium: The New Initiatives",,Archive
http://www.democracynow.org/2010/10/22/wikileaks_prepares_largest_intel_leak_in,wikileaks_prepares_largest_intel_leak_in,,Archive
http://www.everydns.com/news.php,"Free DNS, Static DNS, Dynamic DNS, URL Redirection, and more from EveryDNS!",,Archive
http://latimesblogs.latimes.com/technology/2010/12/wikileaks-bahnhof-amazon.html,"WikiLeaks' new home is in a former bomb shelter | Technology | Los Angeles Times",,Archive
http://www.havanatimes.org/?p=31387,"  Wikileaks and Freedom of the Press   - Havana Times.org",,Archive
http://c2047862.cdn.cloudfiles.rackspacecloud.com/Saturday%20Keynote%20-%20Wikileaks.mp3,Saturday%20Keynote%20-%20Wikileaks.mp3,,Archive
http://www.fas.org/blog/secrecy/2010/06/wikileaks_review.html,"Wikileaks Fails “Due Diligence” Review | Secrecy News",,Archive
http://commons.wikimedia.org/wiki/Category:Wikileaks,"Category:Wikileaks - Wikimedia Commons",,Archive
http://en.wikiquote.org/wiki/Wikileaks,"Wikileaks - Wikiquote",,Archive
http://www.bbc.co.uk/news/world-europe-11921080,"BBC News - Wikileaks' Julian Assange to fight Swedish allegations",,Archive
http://www.cnbc.com/id/40471184/,"Bank of America's Risky WikiLeaks Strategy  - CNBC",,Archive
http://dealbook.nytimes.com/2010/11/30/wikileaks-next-target-bank-of-america/,"WikiLeaks' Next Target: Bank of America? - NYTimes.com",,Archive
http://www.npr.org/blogs/thetwo-way/2010/12/01/131727190/bank-of-america-stock-steadies-after-wikileaks-related-drop,"Bank Of America Stock Steadies After WikiLeaks-Related Drop : The Two-Way : NPR",,Archive
http://news.bostonherald.com/business/general/view.bg?articleid=1299995,"Bank of America rumored to be in WikiLeaks’ crosshairs - BostonHerald.com",,Archive
http://blogs.forbes.com/andygreenberg/2010/11/29/an-interview-with-wikileaks-julian-assange/2/,"  An Interview With WikiLeaks’ Julian Assange - Andy Greenberg - The Firewall - Forbes",,"Wikileaks reading list"
http://www.csmonitor.com/World/Europe/2010/1026/WikiLeaks-ready-to-drop-a-bombshell-on-Russia.-But-will-Russians-get-to-read-about-it,"        WikiLeaks ready to drop a bombshell on Russia. But will Russians get to read about it?  - CSMonitor.com
    ",,"Wikileaks reading list"
http://www.dailymail.co.uk/news/article-1329561/Wikileaks-Russian-corruption-expose-plan-linked-Alexander-Lebedev-bank-raid.html,"WikiLeaks Russian corruption expose plan 'linked to Alexander Lebedev bank raid' 
 | Mail Online",,Archive
http://edition.cnn.com/2010/TECH/web/07/16/wikileaks.disclosures/,"WikiLeaks founder: Site getting tons of 'high caliber' disclosures - CNN.com",,Archive
http://www.ted.com/talks/julian_assange_why_the_world_needs_wikileaks.html,"Julian Assange: Why the world needs WikiLeaks  | Video on TED.com",,Archive
http://www.washingtonpost.com/wp-dyn/content/article/2010/12/03/AR2010120303214.html,"WikiLeaks fights to stay online amid attacks",,Archive
http://edition.cnn.com/2010/US/11/29/wikileaks/index.html,"Clinton condemns leak as 'attack on international community' - CNN.com","this is a key read. ",Archive
http://www.google.com/insights/search/#geo=US&date=today%207-d&gprop=news&cmpt=q,"Google Insights for Search",,Archive
http://www.nydailynews.com/news/world/2010/11/28/2010-11-28_media_unveils_classified_documents_via_wikileaks_website_in_explosive_release_of.html,"WikiLeaks should be designated a 'foreign terrorist organization,' Rep. Pete King fumes",,Archive
http://www.guardian.co.uk/world/2010/nov/28/us-embassy-cables-spying-un," US diplomats spied on UN leadership | World news | The Guardian ","good summary of cables",Archive
http://twitter.com/wikileaks/status/8924979961798657,"Twitter / WikiLeaks: El Pais, Le Monde, Speigel ...",,Archive
http://www.bbc.co.uk/news/world-us-canada-11858637,"BBC News - Wikileaks 'hacked ahead of secret US document release'",,Archive
http://media.washingtonpost.com/wp-srv/politics/documents/Dept_of_State_Assange_letter.pdf,Dept_of_State_Assange_letter.pdf,"Original state department response to WL redaction requests, ends with demand to

""1) ensure WikiLeaks ceases publishing any and all such materials; 2) ensure WikiLeaks returns any and all classified U.S. Government material in its possession; and 3) remove and destroy all records of this material from WikiLeaks’ databases.""

Short, definitely key read.","Wikileaks reading list"
http://www.webcitation.org/5uZqSSqr6,"WebCite query result",,Archive
http://news.smh.com.au/breaking-news-world/us-rejects-talks-with-wikileaks-20101128-18c57.html,"US rejects talks with WikiLeaks",,Archive
http://www.webcitation.org/5uZqzdckM,"WebCite query result",,Archive
http://www.dawn.com/2010/11/27/wikileaks-plans-to-release-94-papers-about-pakistan-2.html,"WikiLeaks plans to release 94 papers about Pakistan | World | DAWN.COM",,Archive
http://www.webcitation.org/5uXW29Chj,"WebCite query result",,Archive
http://www.indexoncensorship.org/2010/11/us-uk-wikileaks-d-notice-leak/,us-uk-wikileaks-d-notice-leak,,Archive
http://www.focus-fen.net/index.php?id=n235797,index.php,,Archive
http://www.techeye.net/internet/wikileaks-promises-leak-seven-times-bigger-than-iraq,"WikiLeaks promises leak ""seven times bigger than Iraq"" - Coming months will see ""history redefined""  | TechEye",,Archive
http://twitter.com/#!/wikileaks/status/6564225640042499,Twitter,,Archive
http://www.bbc.co.uk/news/world-middle-east-11611319,"BBC News - Huge Wikileaks release shows US 'ignored Iraq torture'",,Archive
http://www.guardian.co.uk/world/2010/oct/22/iraq-war-logs-military-leaks," Iraq war logs: secret files show how US ignored torture | World news | The Guardian ","summary of torture revelations in Iraq, other travesties, revealed by WL","Wikileaks reading list"
http://www.twitlonger.com/show/6hqu1n,"TwitLonger: Where do all these claims about WikiLeaks doing something on Iraq today (Monday) come from? A single",,Archive
http://www.news.com.au/technology/wikileaks-releases-documents-on-love-parade-tragedy/story-e6frfrnr-1225908260011,"WikiLeaks releases documents on Love Parade tragedy |  News.com.au",,Archive
"http://wikileaks.org/wiki/Loveparade_2010_Duisburg_planning_documents,_2007-2010","Loveparade_2010_Duisburg_planning_documents,_2007-2010",,"WL original leaks"
http://www.wdr.de/themen/panorama/loveparade_2010/aktuell/100818.jhtml,"Lokales Portal stellte Loveparade-Dokumente ins Netz - Loveparade 2010 - 
WDR.de
",,Archive
"http://www.spiegel.de/netzwelt/netzpolitik/0,1518,712408,00.html","Einstweilige Verfügung: Duisburg verbietet Blogger-Veröffentlichung zur Love Parade - SPIEGEL ONLINE - Nachrichten - Netzwelt",,Archive
http://www.nytimes.com/2010/10/24/world/24assange.html?_r=2,"WikiLeaks Founder on the Run, Chased by Turmoil - NYTimes.com","critical, slightly sensational article. I'd like sources for internal turmoil reports","Wikileaks reading list"
http://www.nytimes.com/2010/08/19/world/19wiki.html,19wiki.html,"more direct source about redaction, although original letter is available. ","Wikileaks reading list"
